name,uri
Constantinople,http://pleiades.stoa.org/places/520998
Phoenicia,http://pleiades.stoa.org/places/678334
Palestina Prima,http://pleiades.stoa.org/places/687995
Apamea,http://pleiades.stoa.org/places/668335
Tarsus,http://pleiades.stoa.org/places/648789
Cilicia,http://pleiades.stoa.org/places/658440
Galatia,http://pleiades.stoa.org/places/991393
Cappadocia,http://pleiades.stoa.org/places/628949
Armenia,http://pleiades.stoa.org/places/874350
Alexandria,http://pleiades.stoa.org/places/727070
Bithynia,http://pleiades.stoa.org/places/511189
Palestine,http://pleiades.stoa.org/places/687934
Egypt,http://pleiades.stoa.org/places/981503
Euphratensis,http://pleiades.stoa.org/places/1001934
Arabia,http://pleiades.stoa.org/places/746711
