Carrier_ID,Carrier_Name,PLRE_ID,BLZG_ID
000,None,,
001,Majorinus,,
002,Auxentius,,Auxentius v
003,Bassus,,Bassus ii
004,Marius,Marius 1,
005,Themistius,Themistius 2,
006,Domitius Modestus,,
007,Encratius,,
008,Maximus,Maximus 19,
009,Eusebius,Eusebius 40,
010,Parthenius,,
011,Sabinus,Sabinus 5,
012,Calliopius,Calliopius 2,
013,Seleucus,Seleucus 1,
014,Boethus,,
015,Beros,,
016,Apringius,,
017,Chrysogonus,,
018,Malchus,,
019,Gymnasius,,
020,Spectatus,Spectatus 1,
021,Apolinarius,Apolinarius 1,
022,Sarapodorus,,
023,Pelagius,Pelagius 1,
024,Modestus,Domitius Modestus 2,
025,Martiales,,
026,Strategius,,
027,Eusebius and Agroecius,,Eusebius xi and Agroecius i
028,Hyperechius,,
029,Julianus,Julianus 14,
030,Faustinus,,
031,Julianus,Julianus 15,Julianus vii
032,Miccalus,,
033,Polycarp,,
034,Dius,,
