Letter_ID,Type_ID
0399,003
0560,001
0156,006
0156,004
0158,003
0159,003
0166,004
0175,004
1460,006
1460,004
0838,002
0838,003
1357,005
1357,003
0175,006
1360,003
1392,004
1411,004
0298,004
0651,003
0732,003
1174,003
1174,002
1222,002
1223,003
1223,002
1514,003
1514,004
0656,004
0656,005
0779,004
0779,003
0791,006
1350,003
1350,001
1354,003
1381,006
1230,006
0458,006
0459,006
0315,003
0315,004
0332,003
0354,003
0361,004
0361,006
0075,001
0095,006
0083,004
0215,004
0142,003
0625,006
0625,003
0629,004
0629,006
0715,003
0715,002
0735,003
0735,002
0632,003
0697,003
0763,004
0336,004
0119,003
0799,003
0800,003
0800,004
1422,001
