id	inscription_num	action	fulldescription	quality	quality_greek	of_what	of_what_greek	to_whom	to_whom_greek
aphro000440	IAph2007 8.113	benefaction	dedication1	none	none	"theater, block of seats"	??? ????????	Aphrodite	?????????
aphro000440	IAph2007 8.113	benefaction	dedication1	none	none	"theater, block of seats"	??? ????????	Augusti	????? ?????????
aphro000440	IAph2007 8.113	benefaction	dedication1	none	none	"theater, block of seats"	??? ????????	People	??? ?????
aphro000440	IAph2007 8.113	benefaction	dedication1	none	none	"theater, vaults"	??? ???????	Aphrodite	?????????
aphro000440	IAph2007 8.113	benefaction	dedication1	none	none	"theater, vaults"	??? ???????	Augusti	????? ?????????
aphro000440	IAph2007 8.113	benefaction	dedication1	none	none	"theater, vaults"	??? ???????	People	??? ?????
aphro000440	IAph2007 8.113	benefaction	dedication1	none	none	"theater, the third bank of seats in the auditorium"	?? ??????? ??????? ??? ??????? 	Aphrodite	?????????
aphro000440	IAph2007 8.113	benefaction	dedication1	none	none	"theater, the third bank of seats in the auditorium"	?? ??????? ??????? ??? ??????? 	Augusti	????? ?????????
aphro000440	IAph2007 8.113	benefaction	dedication1	none	none	"theater, the third bank of seats in the auditorium"	?? ??????? ??????? ??? ??????? 	People	??? ?????
aphro000440	IAph2007 8.113	characterization1	dedication1	ambitious	????????? 	none	none	none	none
aphro000440	IAph2007 8.113	characterization2	dedication1	lover of the city	????????? 	none	none	none	none
aphro001383	IAph2007 8.113	benefaction	dedication1	none	none	"theater, block of seats"	??? ????????	Aphrodite	?????????
aphro001383	IAph2007 8.113	benefaction	dedication1	none	none	"theater, block of seats"	??? ????????	Augusti	????? ?????????
aphro001383	IAph2007 8.113	benefaction	dedication1	none	none	"theater, block of seats"	??? ????????	People	??? ?????
aphro001383	IAph2007 8.113	benefaction	dedication1	none	none	"theater, vaults"	??? ???????	Aphrodite	?????????
aphro001383	IAph2007 8.113	benefaction	dedication1	none	none	"theater, vaults"	??? ???????	Augusti	????? ?????????
aphro001383	IAph2007 8.113	benefaction	dedication1	none	none	"theater, vaults"	??? ???????	People	??? ?????
aphro001383	IAph2007 8.113	benefaction	dedication1	none	none	"theater, the third bank of seats in the auditorium"	?? ??????? ??????? ??? ??????? 	Aphrodite	?????????
aphro001383	IAph2007 8.113	benefaction	dedication1	none	none	"theater, the third bank of seats in the auditorium"	?? ??????? ??????? ??? ??????? 	Augusti	????? ?????????
aphro001383	IAph2007 8.113	benefaction	dedication1	none	none	"theater, the third bank of seats in the auditorium"	?? ??????? ??????? ??? ??????? 	People	??? ?????
aphro000956	IAph2007 8.113	benefaction	dedication2	none	none	"theater, the third bank of seats in the auditorium"	 ?? ??????? ??????? ??? ??????? 	Aphrodite	?????????
aphro000956	IAph2007 8.114	benefaction	dedication2	none	none	"theater, the third bank of seats in the auditorium"	 ?? ??????? ??????? ??? ??????? 	Augusti	????? ?????????
aphro000956	IAph2007 8.115	benefaction	dedication2	none	none	"theater, the third bank of seats in the auditorium"	 ?? ??????? ??????? ??? ??????? 	People	??? ?????
