Pleiades Name, Custom Name, English Name, Greek Name, Latin Name, Type, Time Period, Pleiades ID, Map Number, awmc_id, perseus_link, wikipedia_link, geometry
"Nilus (river)","","Nile","Νεῖλος","Nilus","river","NP2N1ACAAHHPRRRTLLCASE1OLMKM","727172","","","","","{""type"":""Point"",""coordinates"":[30.5673296333,19.2114087667]}"
"Pharos","","Pharos","","Pharos","lighthouse","HRL","727197","","","","","{""type"":""Point"",""coordinates"":[29.885661,31.213931]}"
"Sparta","","Sparta","Λακεδαίμων","Sparta","settlement, temple, theatre","MACHR","570685","","","","","{""type"":""Point"",""coordinates"":[22.4295575,37.0827165]}"
"Ida M.","","Ida M.","","Ida M.","mountain","ACHRM","550592","","","","","{""type"":""Point"",""coordinates"":[26.8265529333,39.6859427667]}"
"Phrygia","","Phrygia","","Phrygia","unlocated","L","897830","","","","","{""type"":""Point"",""coordinates"":[44.5,32.5]}"
"Ilium/Troia","","Troia","","Troia","settlement","2ACHHRLM","550595","","","","","{""type"":""Point"",""coordinates"":[26.238889,39.9575]}"
"Scamander (river)","","Scamander","","Scamander","river","ACHRM","550871","","","","","{""type"":""Point"",""coordinates"":[26.2795906,39.8640658]}"
"Salamis Ins.","","Salamis","Σαλαμίς","Salamis","island","ACHRLM","580101","","","","","{""type"":""Point"",""coordinates"":[23.51,37.93]}"
"Achaia","","Achaia","Ἀχαία","Achaia","province","","981502","","","","","{""type"":""Point"",""coordinates"":[22.5,37.5]}"
"Argos","","Argos","","Argos","settlement","","573117","","","","","{""type"":""Point"",""coordinates"":[22.75,36.75]}"
"Eurotas (river)","","Eurotas","","Eurotas","river","M","570248","","","","","{""type"":""Point"",""coordinates"":[22.3334931,37.1615197]}"
"Cyprus (island)","","Cyprus","Κύπρος","Cyprus","island","","707498","","","","","{""type"":""Point"",""coordinates"":[32.6288214881,35.0444470024]}"
"Libya","","Libya","Λιβύη","Libya","region","R","716588","","","","","{""type"":""Point"",""coordinates"":[26.5,31.5]}"
"Simoeis (river)","","Simoeis","","Simoeis","river","AHM","550883","","","","","{""type"":""Point"",""coordinates"":[26.2,39.96667]}"
"Arcadia","","Arcadia","Ἀρκαδία","Pelasgia","region","ACHR","570102","","","","","{""type"":""Point"",""coordinates"":[22.1736139167,37.6762876167]}"
"Olympia","","Olympia","","Olympia","temple, palaistra","ACHRR","570531","","","","","{""type"":""Point"",""coordinates"":[21.629337,37.6381535]}"
"Aegyptus","","Aegyptus","Αἴγυπτος","Aegyptus","province","","981503","","","","","{""type"":""Point"",""coordinates"":[27.5,27.5]}"
"Lakedaimon","","Lakedaimon","","Lakedaimon","unlocated","CHR","711244","","","","","{""type"":""Point"",""coordinates"":[33.25,35.25]}"
"Ilion","","Ilion","","Ilion","unlocated","","494571","","","","","{""type"":""Point"",""coordinates"":[22.5,41]}"
"Euboia","","Euboia","","Euboia","island","A","536073","","","","","{""type"":""Point"",""coordinates"":[20.25,39.75]}"
"Creta Ins.","","Crete","Κρήτη","Creta","island","ACHRLM","589748","","","","","{""type"":""Point"",""coordinates"":[24.9922411953,35.2134130822]}"
"Hellas","","Hellas","","Hellas","province","","1001896","","","","","{""type"":""Point"",""coordinates"":[22.5,37.5]}"
"Malea","","Malea","","Malea","settlement","AC","570454","","","","","{""type"":""Point"",""coordinates"":[22.168781,37.327556]}"
"Phoenice","","Phoenice","","Phoenice","region","ACHRL","678334","","","","","{""type"":""Point"",""coordinates"":[35.25,33.25]}"
"Sidon/Col. Aurelia Pia","","Sidon","Σιδών","Sidon","settlement","2E1IANCAAHHRRRTLLCAMCCIE1OLKMP","678393","","","","","{""type"":""Point"",""coordinates"":[35.371208,33.560243]}"
"Lacedaemon/Laconia","","Laconia","Λακωνική","Laconia","region","A","570406","","","","","{""type"":""Point"",""coordinates"":[22.5012053333,37.0485586667]}"
"Nauplia","","Nauplia","","Nauplia","settlement","ACH","570501","","","","","{""type"":""Point"",""coordinates"":[22.808706,37.568123]}"
"Attica","","Attica","Ἀττική","Attica","region","A","579888","","","","","{""type"":""Point"",""coordinates"":[23.93799025,38.1976346667]}"
