modcountry,capacity,extmajor,extminor,arenamajor,arenaminor,latitude,longitude,elevation
Albania,20000.0,132.4,113.2,61.4,42.2,41.312241,19.445131,15
Algeria,42702.0,614.9000000000001,444.8,428.8,263.0,286.87351390000003,38.7091159,2635
Austria,23729.0,324.5,236.5,137.0,93.0,284.92273618900003,96.232751199,1644
Bulgaria,24000.0,70.0,60.0,110.5,83.0,128.415938,75.588428,1036
Croatia,39380.0,337.2,270.75,175.25,113.85,132.4304988,46.342304999999996,274
Cyprus,,,,,,34.754942,32.405344,6
France,277017.0,2128.0,1466.5,860.9,575.05,1574.08383479,97.8564076,4309
Germany,30000.0,196.5,166.0,129.04000000000002,97.92,249.67200200000002,45.554429,1123
Greece,14000.0,98.0,70.0,58.0,30.0,107.97746799999999,73.590334,252
Hungary,,217.5,182.5,139.0,84.0,142.793337,54.67644799,489
Israel,3500.0,275.0,183.0,148.0,82.0,129.194077,140.476895,284
Italy,544774.0,6771.430000000001,4909.96,2804.5600000000004,1735.58,4356.25986948,1320.166743628,19585
Libya,47578.0,325.0,296.0,202.2,169.3,130.968698,69.600028,591
Morocco,,,,,,35.19990039,-6.108468299999999,52
Netherlands,,,,,,51.838522999999995,5.878858999999999,46
Northern Cyprus,,,,,,35.185517,33.902435,6
Portugal,4000.0,94.0,80.0,54.0,40.0,122.00720100000001,-24.816977,658
Romania,1500.0,228.0,181.0,174.0,125.0,138.60923729,68.756682599,1115
Serbia,12000.0,85.0,,,,44.737984999999995,21.220083,72
Spain,73843.0,542.0,425.5,344.0,216.0,512.921018499,-40.7981639,3741
Switzerland,46951.0,374.6,329.5,213.6,169.5,234.45911900000002,36.700188,2064
Syria,1000.0,50.0,44.0,31.0,25.0,101.82156699999999,115.482533,1476
Tunisia,221832.0,2021.4,1568.8000000000002,1138.95,781.5,1045.14317205302,288.5508396999999,5985
Turkey,23016.0,395.2,287.4,172.0,110.0,231.697921,184.822342,843
United Kingdom,26098.0,740.5,642.6,426.7,326.3,784.8668095999999,-29.7651535999,1164
